"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"59","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.5385715270681724","1.0165161375638236","3.064180632736536"
"60","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.05","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.5391982734466767","1.0251477207052","3.0534845684858265"
"61","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.1","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.5078808872569525","1.0249104768724038","3.047857335821531"
"62","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.15","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.4466213259518383","1.017779013566489","3.043873196688608"
"63","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.2","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.42977169209771","1.0214289348914203","3.0369260267294984"
"64","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.25","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.385845461318515","1.0227764949549392","3.0282271419197344"
"65","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.3","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.368055408453444","1.0320514239269405","3.0127720176655064"
"66","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.35","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.3023936961962987","1.032820387375947","3.003445021174145"
"67","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.4","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.2226853737579324","1.025111823237766","2.9983208361943796"
"68","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.45","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.183873408760921","1.0341237519777124","2.97892150911611"
"69","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.5","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","3.076577565993031","1.0310430568292583","2.961989523562205"
"70","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.02","0.55","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.977586253578826","1.0324224461281757","2.9456592444685263"
